air_pressure,air_temp,avg_wind_speed,relative_humidity
923.62,62.6,4.9436374,28.55
922.7114407,47.52111016,6.11125373,50.75183903
915.29,58.82,15.6138412,21.5
916.45,62.654,3.5343652,47.43
922.88,53.744,2.8185444,28.68
915.1,47.138,3.8922756,72.29
918.29,75.236,2.3040482,35.96
919.5613327,69.16552065,1.382894185,15.93544664
917.3973494,79.24467791,1.110306816,13.36818385
918.2,65.984,2.8856526,13.85
915.17,51.17,1.565858,89.85
920.7,76.172,6.263432,35.85
920.59,75.002,1.1632088,13.92
918.32,74.732,2.0579848,27.48
920.18,62.744,3.019869,45.21
913.61,79.628,3.2659324,12.76
923.3172954,70.34564733,4.181992575,18.35525613
917.69,75.038,3.131716,48.53
923.3242454,57.18647316,9.994809533,17.44536238
916.04,88.844,1.4092722,7.37
923.485042,68.45261063,4.671545946,18.39975068
916.5,76.928,1.2974252,42.52
918,66.866,2.684328,62.27
916.27,71.726,12.2136924,16.09
919.61,70.25,3.4001488,19.64
920.201586,57.81023706,5.38511667,14.3792334
918.8,48.416,2.0579848,65.12
921.6348996,65.89729045,3.016972003,10.72026911
919.08,72.752,2.460634,41.95
913.06,64.814,1.1855782,60.8
921.9332984,64.61826922,3.815591981,12.2849738
917.21,75.416,2.3040482,48.57
923.8315596,50.00212297,5.9064336,39.93988672
921.1862235,71.20382278,1.690793397,17.10315068
915.56,57.308,9.4846256,37.21
918.77,68.648,2.1474624,34.08
914.97,73.688,2.2593094,40.98
924.722875,61.12808283,8.576565466,17.20774274
916.79,76.424,2.3935258,33.11
916.55,57.956,3.131716,60.46
919.66,66.92,2.2145706,28.14
923.1877827,56.53274375,7.695570649,13.49691652
916.55,53.51,3.802798,84.48
917.22,79.952,3.6014734,23.25
919.9,56.048,3.8699062,18.95
921.7,53.564,5.256809,19.89
919.27,50.054,2.9303914,70.76
926.1773682,66.06856811,16.99667398,14.58678058
921.5741147,75.25061053,1.963296053,43.52907512
918.32,55.454,6.4647566,24.28
915.7,56.534,1.6329662,81.99
921.507308,73.19115622,3.390924927,13.80796287
917.6,47.66,1.6105968,89.84
920.77,70.718,4.4067718,13.16
915.6968387,86.23975056,1.742951989,8.810402446
913.7,64.886,3.467257,38.22
921.2110659,59.81076306,17.89629188,8.762945026
920.9,60.314,2.3040482,62.44
918.7138944,65.21846162,5.723355288,18.6347566
917.7062236,81.45133349,1.734641613,15.90510835
919.6,46.922,16.2401844,91.34
925.96,56.966,17.8731506,15.36
918.98,78.944,1.565858,36.35
917.7,74.786,6.6660812,22.33
919.9030809,55.96469778,8.828660563,20.43537504
923.61,58.406,10.6030956,17.98
915.15,84.236,1.11847,35.47
922.17,56.696,12.2136924,14.93
915.9,,4.7199434,29.26
918.4,60.926,5.1897008,13.16
919.4779271,68.06004299,10.56738329,9.374424197
916.1,51.224,3.2659324,88.43
915.63,72.356,3.802798,52.34
919,61.25,5.6147194,32.16
916.8176734,84.28745579,1.892737962,13.6867076
914.98,84.362,1.4316416,37.64
918.8767448,77.0837053,4.324869059,10.07382203
916.5,71.042,2.4158952,49.01
922.1878752,56.86397406,12.29836798,14.94945239
