Country Name	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Bermuda	-10.93699558	-28.68193164	-27.86325427	-24.75965448	-23.92058941	-22.79853344		-29.28868133	-24.64591607	-20.5204788	-21.87736623	-19.27615912	-16.83860524	-9.341248126	-10.44562375	-8.032170651			-14.04347463	-8.930189546	-5.832908381	-3.076035704
Bolivia	-4.922931706	1.128298247	11.07938176	-18.74684456	-11.56201596	-8.577608755	-7.046551443	-29.39636258	17.24835896	-52.55490552	-67.70023332	-42.53637851	-35.32297984	31.10663542	60.63602771	-14.75811697	18.12457008	-37.70779409	-60.32822516	-46.58561375	222.3440605	222.730662
Brazil	-2.256686799	2.675521122	10.36173757	-9.385832021	-1.977556993	0.470119482	2.565323095	40.93590307	-0.644129864	-23.8810033	-20.46790833	-0.895417782	1.14215287	22.488853	48.5758817	0.925775718	68.3154557	-4.5666217	-24.54474128	80.6889399	83.8515352	86.11633574
Barbados	3.744728881	3.092933891	-5.913409694	-8.894527564	-8.344972604	-9.671424762	-6.387251983	0.749855529	9.209839206	9.525991915	2.121355184	5.340536598										28.4202694
Brunei Darussalam	-4.149471758	25.65973589	10.07903947	3.605193814	15.77795752	-1.162812261	1.446240369	-3.144754762	-48.38602958	-47.46275857	-46.28809937	-46.42056193	-41.40485259	-43.81105958	-40.27826552	-28.15713636	-29.22965024	-25.20155091	-26.22656707	-23.10245622	-21.08308447	-19.26199448
Bhutan	-0.25211084	24.59368748	24.38101519	26.13198558	28.72684745	29.98024541	24.75976967	51.78662695	201.338665	80.42995484	26.03850464	33.39134793	14.64130394	26.80159344	26.38150921	53.60419536	81.74161347	49.06817424	71.14651937	151.5656181	154.6283229	157.5464599
Botswana	-18.01861725	15.86268987	-31.2437033	-17.12916653	-9.123474501	-23.67458219	-24.47101024	156.4394611	159.657456	196.7340535	306.4053283	284.7302399	30.73263723	78.61779761	80.87420367	225.1655291	95.04013322	446.2548933	71.5532792	510.5715742	512.3571049	513.9965218
Central African Republic	-27.44548555	-10.80020652	-19.56522843	-20.6573664	-8.438782713	-11.41352665	-9.50892258	275.3844173	198.9833508	241.6774201	210.3749482	140.0188779	264.4353034	136.2225997	211.5238897	307.2045604	375.5984322	312.6982144	192.8842323	249.7612161	251.0242086	252.2856531
Canada	2.869208211	1.641016289	7.706557579	32.61749838	37.3494714	14.79884998	13.37042148	85.49612854	34.97856198	24.96496546	18.04701282	49.28676573	56.29973467	70.88260266	39.61223621	47.0255633	46.55640438	49.32617035	23.19404191	25.53910073	69.78929693	68.73487187
Central Europe and the Baltics	-9.13132296	-15.71389499	-18.91141357	-20.50336852	-19.45662822	-19.89506419	-21.74802052	-28.78963151	-31.81549419	-29.8262606	-29.99829491	-31.09997365	-29.05567674	-27.95225851	-28.17866878	-26.84580729	-26.46603909	-27.30196199	-31.81806308	-28.8634627	-28.30960141	-30.35918888
Switzerland	2.58900762	1.972082187	-2.706606362	-2.760870305	-3.220481106	-2.610146823	-4.931904856	-3.589261712	-3.800382612	-5.905942945	-4.111136627	-6.022614989	-3.264629399	-2.07689548	-0.906044623	-1.120327928	-4.045329039	0.427514898	-2.035377849	1.348343112	-5.899467477	-4.053110896
Channel Islands																						
Chile	-3.279345727	1.250651445	6.789755513	13.78832963	21.38226525	34.52680314	50.54315914	67.41719031	77.39916427	65.14548794	66.01814751	66.66122117	72.18313001	82.49223369	85.62720046	86.30457507	106.6995422	102.8512353	101.7247819	108.8149428	114.9846247	120.5139441
China	3.661683576	7.188324812	12.98889939	18.51719081	29.53428973	33.11874998	31.36741813	32.0789043	30.48336917	30.56125648	32.18471457	40.6465907	59.96614779	82.82137879	100.4671666	120.2443062	134.3901334	157.4585442	172.7498305	187.3039783	209.9220846	219.9524772
Cote d'Ivoire	-18.57226467	-6.347618042	-12.28050251	-12.35262509	-3.122694572	-4.717444485	-2.150890939	-83.5986459	-84.02295171	-80.65530542	-81.21939647	-81.16239867	-85.27788694	-84.93321682	-82.73151662	-82.09680889	-81.69550497	-80.49794927	-79.83895368	-78.63001033	-78.30003177	-77.98815553
